,coordinates,favorite_count,geo,lang,place,source,trump_tweet_id,user_created_at,user_description,user_favourites_count,user_followers_count,user_friends_count,user_id,user_lang,user_location,user_name,user_statuses_count
0,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",931477193255014400,Thu Apr 19 16:24:36 +0000 2012,"Trump Supporter, I am a proud son of a WWII VETERAN with 6 uncles who fought in WWII.#LoveJesus,#Freedom, #MAGA!,#TRUMP2017, #AlwaysAmericaFirst,#AllLivesMatter",21490,1302,1360,Byron23431358,en,"Florida, USA",Always America First,22771
1,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",931477193255014400,Sun Oct 01 21:23:57 +0000 2017,"N.L.M.B, TWD, Old school, and I’m DTF.. Donald Trump Forever!🤘🏻😝🇺🇸",90,34,61,schlegel_tanner,en,,Alex Tanner Schlegel,41
2,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",931477193255014400,Sun Apr 10 19:10:55 +0000 2011,,14747,107,230,PeteRodriguezCT,en,"Connecticut, USA",ROWDY ROD-MAN,16519
3,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",931477193255014400,Sat Oct 28 17:12:07 +0000 2017,Je suis calme simple et sympatique. Mais bon j'aime pas la mauvaise companies.j'aime beaucoup ma mifa et ceux je considere comme ami(e)s,483,15,158,NgawaJules,fr,"Centre, Cameroon",Jules Ngawa,150
4,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",931477193255014400,Sun Mar 13 18:28:20 +0000 2016,"proud vet 11-C  Sua Sponte ,love God, family, this country ,golf, flying and anything in salt air .",36381,1323,1983,chasegolf2069,en,"Georgia, Florida, puerto rico",Chase Wilson,12641
5,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",931477193255014400,Thu May 14 22:41:46 +0000 2015,yankees. cowboys. manu. blackhawks.LS.U. mr. reagan. the. doors. the. who. pro isreal. pro N.R.A. the. Beatles. Radiohead star. wars. the. road. warrior.,421829,4544,2039,the626killa,en,"Worcester, MA",nephtali Guzman,254835
6,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",931477193255014400,Thu Jun 19 00:58:02 +0000 2014,"Texas CPA, Husband, Father, grateful, undeserving, forgiven sinner #ReligiousLiberty  #ChristianPersecution #CCOT #PROLIFESTRONG #DefundPlannedParenthood  #2A",34964,24692,23316,whatley_brady,en,"Texas, USA",Brady Whatley,19730
7,,0,,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",931477193255014400,Tue Mar 29 03:34:39 +0000 2011,"Maker of FakeTrix: https://t.co/dj0eud6vJd
CNN/TRUMP INFOWARS Meme ContestWinner-Rightwing-Realist-Liberatrian-MAGA-Trump-,Bacon-MiddleEarth-MotionGraphics",4491,1032,2744,CiKeller,en,anywhere/everywhere,dontDoxmebro,4016
8,,0,,en,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",931477193255014400,Thu Mar 22 22:28:05 +0000 2012,"GLA certified activist, LI trained impassioned conservative to help prevent current course America is on. Long live liberty & the Constitution! Trump 2016-2024",5588,2111,2946,Seascape_Eagle,en,Southeastern PA,Susan Jane 🇺🇸,46358
9,,0,,en,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",931477193255014400,Sat Aug 04 22:14:04 +0000 2012,The official voice of the Kane County GOP,242,2164,4968,kanegop,en,"Kane County, IL",KaneGOP,55937
